,SMILES,Experimental LogP,Predicted LogP,Deviation
259,Cc1cc(NCCCN(C)C)n2c(nc3ccccc32)c1C#N,2.17,2.05,0.12
260,O=S(=O)(c1ccc2c(c1)CCCN2)N1CCC[C@H]2CCCC[C@@H]21,3.12,3.19,-0.07
261,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,1.62,2.21,-0.59
262,CCOC(=O)c1ccc(-c2c(C(=O)OCC)oc3cc(O)c(CC)cc3c2=O)o1,3.7,4.02,-0.32
263,Cc1ccn(S(=O)(=O)c2ccc(C(C)(C)C)cc2)n1,2.88,3.07,-0.19
264,CCOC(=O)C1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,2.8,2.78,0.02
265,COC[C@H](O)Cn1ccnc1[N+](=O)[O-],0.03,-0.42,0.45
266,CN/C(=C/[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,0.77,0.34,0.43
267,C(#Cc1ccccc1)CN1CCN(c2ccccn2)CC1,3.5,2.96,0.54
268,CCn1c(COc2cccc3cccnc23)nnc1SC(F)F,3.64,2.87,0.77
269,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,1.88,1.99,-0.11
270,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,1.08,1.34,-0.26
271,CCN(CC)CCNC(=O)c1ccc(-c2ccccc2)cc1,3.43,3.34,0.09
272,Cn1c(SCc2ccc([N+](=O)[O-])cc2)nnc1-c1cccnc1,2.8,2.05,0.75
273,COc1cc(OC)c2c(C)cc(=O)oc2c1,1.77,1.67,0.1
274,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,2.9,3.05,-0.15
275,CC(C)NC[C@H](O)c1ccc(N)c(C#N)c1,0.7,0.6,0.1
276,COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1,3.73,3.41,0.32
277,Ic1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,3.83,3.99,-0.16
278,COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(OC)c4c3Oc3cc5c(cc3O4)CCN[C@H]5C2)CCN1C,5.94,4.88,1.06
279,O=C(c1cc2cc(Br)ccc2oc1=O)N1CCN(c2ccccn2)CC1,2.89,2.82,0.07
280,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,2.85,3.78,-0.93
281,O=c1c2ccc(O)cc2oc2cc(O)ccc12,2.35,2.25,0.1
282,CCCCCOC(=O)c1ccc(Nc2nc(C(=O)OCC)nc3ccccc23)cc1,5.8,5.8,0.0
283,O=C(NCCOc1ccccc1)C(=O)c1c[nH]c2ccccc12,2.65,2.55,0.1
284,CCCCCc1c(C)nc(Nc2nc(C)c3cc(OC)ccc3n2)nc1O,4.99,4.62,0.37
285,O=C(O)/C=C\C(=O)Nc1ccc(-c2ccccc2)cc1,3.04,2.83,0.21
286,COc1ccc(NC(=O)CCOc2ccccc2)cc1,2.81,2.87,-0.06
287,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,2.84,2.49,0.35
288,CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1cc(C(C)C)co1,3.61,3.96,-0.35
289,O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,4.11,3.94,0.17
290,CCOC(=O)c1cn2nc(SCc3ccccc3)nc2nc1C,3.63,3.52,0.11
291,CN(C)c1ccc(/C=C/C(=O)c2ccccc2)cc1Br,4.77,4.76,0.01
292,CN1CCN(S(=O)(=O)c2ccc(Cl)c3ccccc23)CC1,2.47,2.04,0.43
293,Cc1cccn2c(=O)c3cc(C(=O)NCCc4ccc(S(N)(=O)=O)cc4)n(C)c3nc12,1.22,1.2,0.02
294,CC(C)(C)c1ccc(-c2nc3ccccc3[nH]2)cc1,4.83,4.53,0.3
295,COc1ccc(-n2/c(=N/C(=S)N(C)C)ss/c2=N\C(=S)N(C)C)cc1,4.06,2.96,1.1
296,CN1C(C)(C)CCCC1(C)C,2.43,2.28,0.15
297,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,4.1,3.86,0.24
298,O/N=C(/c1ccccc1)c1ccc2c3c(cccc13)CC2,4.99,4.58,0.41
299,Cc1ccc2c(c1)sc1nncn12,1.47,1.98,-0.51
300,CCN1C(=O)CN(C(=O)CC(C)C)CC12CCOCC2,0.04,0.96,-0.92
301,CCOC(=O)C1CCN(C(=O)c2nnc(O)c3ccccc23)CC1,1.32,1.43,-0.11
302,COC1=C(OC)C(=O)c2ccccc2C1=O,0.68,1.26,-0.58
303,CN(C)CCOc1ccc(I)cc1Cc1ccccc1,4.85,4.38,0.47
304,Cc1cccc(C)c1Nc1c(-c2ccc(N3CCOCC3)cc2)nc2cnccn12,4.02,4.23,-0.21
305,O=C1c2ccccc2C(=O)c2oc(-c3ccccc3)nc21,3.19,3.52,-0.33
306,COc1ccc(S(=O)(=O)Nc2cc3sc(=O)oc3c3ccccc23)cc1,3.5,3.77,-0.27
307,Cc1nc(N2CCN(C(=O)c3ccco3)CC2)nc(O)c1C,1.76,1.6,0.16
308,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.52,1.35,-0.83
309,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,4.14,2.28,1.86
310,CNCC[C@H](Oc1ccccc1C)c1ccccc1,3.81,3.74,0.07
311,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,3.44,3.1,0.34
312,NC(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl,4.8,4.24,0.56
313,O=c1oc2cc(O)ccc2s1,1.87,1.57,0.3
314,Clc1ccc(Nc2c(-c3ccccc3Cl)nc3ccc(Cl)cn23)cc1,6.13,6.02,0.11
315,Nc1ccc(C(=O)C(=O)c2ccc(N)cc2)cc1,1.59,1.53,0.06
316,CCNC(=O)c1ccc(-n2nc(C)cc2-c2ccccc2)cc1,3.19,2.9,0.29
317,CC(C)NC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,-0.4,0.26,-0.66
318,CCN(CC)c1nc(-c2ccc(C(C)(C)C)cc2)nc2ccccc12,6.9,5.9,1.0
319,Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1,4.67,4.64,0.03
320,C=CCN1CCc2cc(O)c(O)cc2[C@@H](c2ccccc2)C1,3.54,3.23,0.31
321,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,2.95,2.52,0.43
322,O[Si@](CCCN1CCCCC1)(c1ccc(F)cc1)C1CCCCC1,,4.57,
323,O=C(C(=O)N1CCN(c2cccc(Cl)c2)CC1)c1c[nH]c2ccccc12,3.57,3.27,0.3
324,Cc1cccn2cc(-c3cccc(S(=O)(=O)N4CCOCC4)c3)nc12,2.14,1.65,0.49
325,CNCc1ccc(-c2cc(Cl)cc(Cl)c2)o1,3.37,3.2,0.17
326,CCOC(=O)c1c(C)n(C)c2ccc(OCCN(C)C)cc12,2.72,2.23,0.49
327,CCN(CC)CCOc1ccccc1/C=C/c1noc2ccccc12,4.5,4.66,-0.16
328,CCOC(=O)c1ccc2c(c1)NCc1cccc(OC)c1O2,2.9,3.32,-0.42
329,N#CCSc1nnc2ccc3ccccc3n12,1.36,1.82,-0.46
330,CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC,2.33,2.5,-0.17
331,Fc1cccc(-c2nn3c(CSc4ccccc4)nnc3s2)c1,4.1,4.09,0.01
332,COc1cc(C(=O)C(=O)c2ccc(O)c(OC)c2)ccc1O,2.32,2.47,-0.15
333,COC1=CC(=O)C[C@@H](C)[C@@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,2.17,2.26,-0.09
334,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,2.42,2.3,0.12
335,O=C(O)c1ccccc1-c1c2ccc(=O)c(O)c-2oc2c(O)c(O)ccc12,2.3,3.15,-0.85
336,COC(=O)c1ccc(NCc2cc(O)ccc2O)cc1,2.57,2.8,-0.23
337,C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,-0.82,-0.15,-0.67
338,OCc1nc2ccccc2n1C/C=C/c1ccccc1,3.12,2.92,0.2
339,Cc1nnc2nc(-c3ccccc3)nc(-c3ccccc3)n12,2.94,3.65,-0.71
340,CCN(CC)CCOc1ccc(/C(=C(\Cl)c2ccccc2)c2ccccc2)cc1,6.47,6.52,-0.05
341,Cc1c2cnccc2c(C)c2c1c1ccccc1n2CCOC(=O)c1ccccc1,5.92,5.42,0.5
342,CCOc1ccc(-c2cc(C(=O)N3CCN(c4ccccn4)CC3)c3ccccc3n2)cc1,4.78,4.36,0.42
343,COc1cc2c(cc1Oc1ccc(OC)c3c1C[C@H]1c4c(cc(OC)c(OC)c4-3)CCN1C)C[C@H]1c3c(cc(OC)c(OC)c3-2)CCN1C,5.98,5.31,0.67
344,Nc1ccc2nc3ccc(=O)cc-3n(-c3ccccc3)c2c1,3.07,2.21,0.86
345,Cc1sc2ncnc(SCc3ccco3)c2c1C,4.2,3.99,0.21
346,O=S(=O)(NCCn1ccc2ccccc21)c1ccc(F)cc1,3.07,2.51,0.56
347,Cc1cccc(/C=C/c2ccccc2)n1,3.46,3.47,-0.01
348,C[C@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@@H](O)[C@@H]1O,0.6,0.94,-0.34
349,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,3.45,2.62,0.83
350,O=C(CSc1nnc2ccccn12)N1CCOCC1,-0.3,0.1,-0.4
351,Cc1ccccc1Nc1c(-c2ccccc2)nc2cccc(C)n12,5.03,5.03,0.0
352,CCCOc1ccc(-c2nc(N3CCC(C)CC3)c3ccccc3n2)cc1,6.36,5.4,0.96
353,Cc1ccccc1NC(=O)C(=O)Nc1ccccc1C,3.63,3.6,0.03
354,CCC(CC)NCCOC(=O)c1ccc([N+](=O)[O-])cc1,3.37,2.24,1.13
355,Cn1c(=O)n(C)c2cc(S(=O)(=O)NCC(=O)O)ccc21,-0.46,-1.09,0.63
356,NCC1(c2ccc(F)cc2)CCOCC1,1.45,0.83,0.62
357,Cc1cccc2cc3cccc(C)c3nc12,4.53,4.03,0.5
358,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3nccnc3c2)n1,4.0,4.0,0.0
359,COC(=O)c1cncc(C)c1,1.27,0.84,0.43
360,CCN(CC)CCNCc1ccc(-c2ccc(Cl)cc2)o1,3.5,3.58,-0.08
361,N#Cc1ccc2ccn(CC(=O)N3CCCc4ccccc43)c2c1,3.41,3.16,0.25
362,COc1ccc(Nc2cc(Cl)ccc2C(=O)O)cn1,3.85,3.3,0.55
363,O=[N+]([O-])c1cccnc1Oc1cccnc1,1.57,1.51,0.06
364,CC(=O)CCCCn1cnc2c1c(=O)n(C)c(=O)n2C,0.23,0.36,-0.13
365,O=S1(=O)CCN(c2ccccc2CC(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)CC1,4.9,5.23,-0.33
366,CCOC(=O)c1c(C)n(C)c2cc(Br)c(OC)cc12,3.47,3.38,0.09
367,COc1ccc(/C=C2\Cc3ccccc3C2=O)cc1OC,3.58,3.06,0.52
368,N#Cc1c(N)nc(SCc2csc(-c3ccc(Cl)cc3)n2)c(C#N)c1-c1ccc(OCCO)cc1,5.04,5.05,-0.01
369,Cc1cc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)ccc1Br,3.67,3.49,0.18
370,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc(I)cc1,3.73,3.52,0.21
371,Cc1nc(NC2=NCN(Cc3ccc4c(c3)OCO4)CN2)nc2ccccc12,3.13,2.73,0.4
372,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,2.97,4.18,-1.21
373,COc1cc(C)nc(-n2nc(C)cc2OC)n1,1.45,1.52,-0.07
374,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CCNS(C)(=O)=O)CC1,0.79,1.23,-0.44
375,Oc1c(CN2CCN(c3ccccc3)CC2)cc(Br)c2cccnc12,3.62,4.34,-0.72
376,Cc1nn(C)cc1S(=O)(=O)Nc1ccc2c(c1)OCCO2,0.53,0.93,-0.4
377,Fc1ccc(C(OCCN2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,6.12,5.96,0.16
378,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,2.55,2.68,-0.13
379,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,2.07,2.76,-0.69
380,Cn1cc(C=O)c2nccnc21,0.33,0.23,0.1
381,CC(C)CCN1CC(=O)N2Cc3[nH]c4ccccc4c3C[C@H]2C1=O,1.84,2.38,-0.54
382,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2Cc1ccccc1,3.84,4.52,-0.68
383,CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C,0.25,1.35,-1.1
384,O=C(c1cccnc1)c1cc(-c2ccccn2)c(=O)n2ccccc12,1.69,1.84,-0.15
385,Cc1ccc(-n2nnnc2-c2cccnc2)cc1,2.33,1.74,0.59
386,O=P(OC1=CCCCC1)(c1ccccc1)c1ccccc1,4.21,3.52,0.69
387,Cn1c(=O)n(C)c2cc(CNCCc3ccc(F)cc3)ccc21,2.95,2.89,0.06
388,OC1(c2ccccc2)CCN(Cc2ccccc2)CC1,2.88,2.62,0.26
389,O=C1c2ccccc2C(=O)c2c(NCCc3ccc(O)cc3)ccc(NCCc3ccc(O)cc3)c21,6.58,6.07,0.51
390,Cc1ccc2nc(-c3ccc(O)cc3)c(Nc3ccc(Cl)cc3)n2c1,5.14,5.02,0.12
391,C[C@@H](Cc1ccc(C=O)cc1)NC[C@@H](O)c1ccc(O)c(NCO)c1,1.24,1.92,-0.68
392,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1Cc1c[nH]nc12,3.48,3.04,0.44
393,CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1,3.45,3.57,-0.12
394,c1ccc(-c2nnc(-c3cccnc3)o2)cc1,1.79,2.28,-0.49
395,CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1,0.92,0.84,0.08
396,Cc1ccccc1Nc1c(-c2ccc(N3CCOCC3)cc2)nc2cccc(C)n12,4.92,4.83,0.09
397,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,4.16,3.75,0.41
398,O=C(CCCN1C(=O)c2cccc3cccc(c23)C1=O)N1CCN(c2ccccc2)CC1,3.29,3.29,0.0
399,O=c1cccc2n1C[C@H]1C[C@@H]2CN2CCCC[C@@H]12,1.01,1.02,-0.01
400,C#CC(c1ccccc1)(c1ccccc1)n1ccnc1,3.6,3.77,-0.17
401,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,3.22,2.96,0.26
402,O=C(Oc1ccccc1)N(c1ccccc1)c1ccccc1,5.01,5.82,-0.81
403,S=C1SCN(CCc2ccccc2)CN1CCc1ccccc1,5.31,5.05,0.26
404,NC1=C(Br)C(=O)c2ncccc2C1=O,0.06,0.31,-0.25
405,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,2.41,1.98,0.43
406,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,3.84,3.82,0.02
407,COCCN(CCOC)c1nc(S(=O)(=O)c2ccc(C)cc2)c(Cl)s1,4.16,3.17,0.99
408,COc1ccc(-c2nc3ccccn3c2Nc2ccccc2C)cc1,4.68,4.5,0.18
409,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.49,4.13,-0.64
410,O=C(c1cc(Sc2cccc(Cl)c2)nc2ccccc12)N1CCN(c2ccccn2)CC1,5.93,4.98,0.95
411,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,3.68,2.55,1.13
412,CN1C[C@@H](CO)C=C2c3cccc4[nH]cc(c34)C[C@@H]21,1.52,1.82,-0.3
413,Cc1cc(N2CCN(C)CC2)n2nc(-c3ccc(Cl)cc3)nc2n1,3.52,2.94,0.58
414,COc1ccc(NC2=NCCO2)c2c1CCCC2,3.16,2.56,0.6
415,CCOC(=O)N1CCN(Cc2c(O)ccc3ccccc23)CC1,2.28,2.98,-0.7
416,O=C(CCCN1CCC2(CC1)C(=O)N(Cc1cccc(F)c1)CN2c1ccccc1)c1ccc(F)cc1,5.16,5.05,0.11
417,CCCN(CCC)[C@@H]1CCc2c(OC)cccc2[C@@H]1C,4.71,4.52,0.19
418,O=C(CN1CCOCC1)Nc1ccc(Br)cc1,1.65,1.7,-0.05
419,COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,3.26,2.91,0.35
420,Cc1ccnc(Nc2nc(-c3ccccc3)cs2)c1,4.68,4.24,0.44
421,Cc1ccc(-c2csc(Nc3cc(C)ccn3)n2)cc1,5.19,4.69,0.5
422,COc1cc(/C=C(\OC(C)=O)c2ccc3c(c2)OCO3)cc(OC)c1OC,2.62,3.26,-0.64
423,CC1=CC(=O)C2=C(C)C[C@H](O)[C@H]3[C@H](C)C(=O)O[C@@H]3[C@@H]12,1.12,1.12,0.0
424,COc1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)nn2)cc1,5.33,5.06,0.27
425,CCN(CCCc1ccccc1)CCCc1ccccc1,5.46,5.71,-0.25
426,O=C(CCNS(=O)(=O)c1ccc(Cl)cc1)N1CCN(c2ccccn2)CC1,1.88,1.34,0.54
427,Cc1ccc(S(=O)(=O)N(C)CCCC(=O)N2CCN(c3ccccn3)CC2)cc1,2.3,1.78,0.52
428,Cn1cc(CC(=O)N2CCN(c3ccccc3F)CC2)c2ccccc21,3.45,3.33,0.12
429,CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1,3.18,3.56,-0.38
430,Cc1ccc(-c2nc3nc(C)cc(C)n3c2Nc2ccc3c(c2)OCCO3)cc1,3.73,4.34,-0.61
431,O=C(O)c1cccn2c(=O)c3ccccc3nc12,0.54,0.83,-0.29
432,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-1.47,-1.65,0.18
433,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,-2.78,-2.55,-0.23
434,CC(C)c1ncc(CO)n1Cc1c(Cl)cccc1Cl,3.53,3.06,0.47
435,CC1=C(c2ccccc2)C=NNCC1=O,1.83,1.0,0.83
436,Cc1nc([N+](=O)[O-])c(Sc2nc3ccccc3[nH]2)n1Cc1ccccc1,4.71,3.53,1.18
437,FC(F)(F)c1ccc(/C=C/c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1,5.96,5.72,0.24
438,C=C1/C(=C/C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)C)C[C@@H](O)C[C@@H]1O,5.82,5.64,0.18
439,N[C@@]1(C(=O)O)CN[C@@H](C(=O)O)C1,-6.36,-3.4,-2.96
440,O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,1.41,0.51,0.9
441,Cc1ccc(N2C(=O)C(=CN)C(=O)N(c3ccc(C)cc3)C2=O)cc1,2.74,2.91,-0.17
442,CCOc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCCCCC3)CC2)cc1C,2.75,2.39,0.36
443,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O,3.42,3.62,-0.2
444,CCOC(=O)CC(=O)N1CCS[C@@H]1COc1ccccc1OC,1.86,1.86,0.0
445,CCOC(=O)/C=C/c1ccc(C(=O)OCC)[nH]1,2.15,2.46,-0.31
446,C=CC(=O)N1C/C(=C\c2ccccc2)C(=O)/C(=C/c2ccccc2)C1,4.27,3.41,0.86
447,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,3.36,2.82,0.54
448,CN(C)S(=O)(=O)Nc1cccc(Br)c1,1.11,1.96,-0.85
449,O=[N+]([O-])c1cc(O)c(O)c([N+](=O)[O-])c1,1.25,1.46,-0.21
450,COc1cc(OC)c(OC)cc1CN(C)CCc1ccccn1,2.27,2.17,0.1
451,N[C@H](CCC(=O)O)C(=O)O,-3.24,-2.94,-0.3
452,CN1[C@H]2CC[C@@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,3.74,3.37,0.37
453,O=[N+]([O-])c1cccc(/C=C/c2ccccn2)c1,3.27,2.66,0.61
454,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,3.75,3.6,0.15
455,COc1ccc(CSc2nc3ccccc3[nH]2)cc1,4.03,3.51,0.52
456,CCN(C(=O)c1ccccc1)c1nc(-c2ccccc2)cs1,4.66,4.68,-0.02
457,COc1ccccc1NS(=O)(=O)c1cc(N)ccc1N1CCCCC1,2.43,2.63,-0.2
458,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,4.07,3.63,0.44
459,Clc1ccc2nc3ccccc3cc2c1,4.11,3.79,0.32
460,Cc1cc(C)c2nc(Nc3nc(C)c(C)c(O)n3)nc(C)c2c1,4.39,3.92,0.47
461,O=c1oc2cc(O)cc(O)c2c2c1CCCC2,2.3,2.12,0.18
462,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,1.93,2.15,-0.22
463,CN1[C@H]2CC[C@@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2,1.43,1.41,0.02
464,Cc1occc1-c1nnc2sc(COc3ccc(F)cc3)nn12,2.97,3.0,-0.03
465,COc1ccccc1/C=C(\C#N)C(=O)O,1.79,1.07,0.72
466,O=C1c2ccccc2C(=O)c2nc(-c3ccccc3)c(-c3ccccc3)nc21,5.32,5.32,0.0
467,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1c(F)c(F)c(F)c(F)c1F,3.3,4.36,-1.06
468,CC[C@@H](C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,5.36,5.17,0.19
469,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O)C3,3.65,3.03,0.62
470,CN1CCC=C(C(=O)N2c3ccccc3Sc3ccc(Cl)cc32)C1,4.05,4.01,0.04
471,CCCCOc1ccc(C(=O)Nc2cccc(C)n2)cc1,3.74,3.62,0.12
472,O=C(Cn1ncc2c3ccccc3n(Cc3ccccc3)c2c1=O)N1CCN(c2ncccn2)CC1,2.79,2.85,-0.06
473,CSc1ccc(-c2nc3ccc(C)cn3c2Nc2ccccc2C)cc1,5.98,5.66,0.32
474,O=C(Nc1c(-c2ccccc2)nc2ccccn12)c1ccco1,3.03,2.62,0.41
475,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,3.97,3.62,0.35
476,CCc1c(C)nc(Nc2nc(C)c3ccc(OC)cc3n2)nc1O,3.65,3.45,0.2
477,COc1ccc(CCNS(=O)(=O)c2cccc3cccnc23)cc1OC,2.66,2.29,0.37
478,Cc1nn(-c2ccccc2)c(C)c1/C=N/N1CCN(Cc2ccccc2)CC1,3.56,3.95,-0.39
479,CC[C@@](N)(C(=O)O)c1ccc(C(=O)O)cc1,-0.92,-0.95,0.03
480,CCN(CC)S(=O)(=O)c1cccc(-c2cn3cc(C)ccc3n2)c1,3.07,2.7,0.37
481,CC(C)(O)CC[C@@H](O)[C@@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,0.61,0.76,-0.15
482,CC[C@@H](CO)NCCN[C@@H](CC)CO,-0.06,-0.84,0.78
483,CCOC(=O)c1cnn2c(SC)ncnc12,1.64,1.1,0.54
484,c1ccc2c(Oc3nc(Nc4ccc(N5CCOCC5)cc4)c4ncn(C5CCCCC5)c4n3)cccc2c1,6.82,6.3,0.52
485,Cc1ccc(Nc2c(-c3ccc(N4CCOCC4)cc3)nc3ncccn23)cc1C,4.29,4.2,0.09
486,Cc1ccccc1Nc1c(-c2ccc(N3CCOCC3)cc2)nc2cnccn12,3.51,3.92,-0.41
487,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,-1.97,-2.2,0.23
488,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,2.02,1.29,0.73
489,COc1cc2c(cc1OC)[C@@H](C)NCC2,1.67,1.26,0.41
490,CCOc1ccc(C(C)C)cc1S(=O)(=O)Nc1cccnc1,2.69,3.01,-0.32
491,Nc1ccc(NC(=O)Nc2ccc(N)cc2)cc1,1.46,1.02,0.44
492,CCc1ccc(CCN2C(=O)c3ccccc3C2=O)nc1,2.7,1.94,0.76
493,CCCCN(CCCC)c1nc(-c2ccncc2)nc2ccccc12,5.91,5.38,0.53
494,c1ccc2c(c1)[nH]c1c3ccccc3sc21,4.07,4.03,0.04
495,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccco1,3.95,3.36,0.59
496,COc1ccc2c(c1O)[C@]13CCN(C)[C@H](C2)[C@@H]1CCC(=O)C3,1.79,1.8,-0.01
497,Cc1ccc(N(CN2CCCC2=O)C(=O)c2ccc(C)c(C)c2)cc1,4.05,3.4,0.65
498,COC(=O)C1=C(C(=O)OC)SC2(S1)C(C(=O)OC)=C(C(=O)OC)Sc1c2ssc1=O,2.34,2.54,-0.2
499,Cc1c(C(=O)NCc2cccnc2)oc2c1C(=O)CC(C)(C)C2,1.79,1.07,0.72
500,COC(=O)c1cn(C(=O)c2ccccc2)c2ccccc12,3.25,3.35,-0.1
501,C(=N/n1cnnc1)\c1ccc2c(c1)CCC2,1.37,2.3,-0.93
502,O=C(c1ccccc1)c1ccccc1C(=O)c1ccccc1,4.89,4.73,0.16
503,Oc1ccccc1Nc1ccccn1,2.49,2.64,-0.15
504,Cc1ccc(Cl)cc1NCc1nnc2n1CCCCC2,2.75,2.97,-0.22
505,CCOC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1cc(OC)ccc1-2,1.56,1.68,-0.12
506,c1ccc(-c2csc(Nc3ncccn3)n2)nc1,2.71,2.7,0.01
507,CN(CCc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,5.25,4.84,0.41
508,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.44,3.32,0.12
509,O=C(O)c1ccccc1-n1c2ccccc2c2ccccc21,4.63,4.42,0.21
510,Clc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1,3.87,3.29,0.58
